id,jcn,seccode,edinetcode,name_jp,name_eng
80,4010401023652,9716,E04835,乃村工藝社,"NOMURA Co., Ltd."
81,7120001172720,,E26965,安芸ゴルフ倶楽部,"AKI GOLF CLUB CO.,LTD."
82,5140001070263,6814,E01839,古野電気,"FURUNO ELECTRIC CO., LTD."
83,8011801023775,3384,E02989,アークコア,"ArkCore,Inc."
84,4120901008761,3065,E03490,ライフフーズ,"Life Foods Co.,Ltd."
85,7010001108108,6093,E30476,エスクローエージェントジャパン,"Escrow Agent Japan, Inc."
86,7340001002293,9778,E04941,昴,"SUBARU CO., LTD."
87,7180001037793,9982,E02776,タキヒヨー,"Takihyo Co., Ltd."
88,8012801001936,7520,E03274,エコス,"Eco's Co.,Ltd."
89,8010001136248,3562,E33037,Ｎｏ．１,"No.1 Co.,Ltd"
90,3470001003902,7515,E03272,マルヨシセンター,Maruyoshi Center Inc.
91,9080001002327,7718,E02302,スター精密,"STAR MICRONICS CO.,LTD."
92,3040001059863,,E04681,房総カントリークラブ,"BOSO COUNTRY CLUB CO.,LTD."
93,1011301004381,8185,E03077,チヨダ,"CHIYODA CO.,LTD."
94,8010001084372,2341,E05316,アルバイトタイムス,"ARBEIT-TIMES CO., LTD."
95,9010001060208,8194,E03083,ライフコーポレーション,LIFE CORPORATION
96,9120001075509,7608,E02897,エスケイジャパン,"SK JAPAN CO.,LTD."
97,7020001031746,8918,E04015,ランド,"LAND Co., Ltd."
98,7240001031724,2742,E03395,ハローズ,"HALOWS CO.,LTD."
99,3120001098201,8244,E03021,近鉄百貨店,"Kintetsu Department Store Co., Ltd."
100,2011501016151,9861,E03153,吉野家ホールディングス,"YOSHINOYA HOLDINGS CO.,LTD."
101,1120001077594,7975,E00667,リヒトラブ,"LIHIT LAB.,INC."
102,7180001034964,7485,E02553,岡谷鋼機,"OKAYA&CO.,LTD."
103,4010701019160,3050,E03489,ＤＣＭホールディングス,"DCM Holdings Co., Ltd."
104,4011501016216,1418,E24512,インターライフホールディングス,"INTERLIFE HOLDINGS CO.,LTD."
105,6180001006700,9793,E04931,ダイセキ,"Daiseki Co.,Ltd."
106,6290001017752,,E03057,ベスト電器,"BEST DENKI CO.,LTD."
107,5010501016225,8181,E04784,東天紅,"Totenko Co.,Ltd."
108,1010001101101,4763,E05096,クリークアンドリバー社,"CREEK & RIVER Co.,Ltd."
109,5120001048550,8125,E02618,ワキタ,"Wakita & Co.,LTD."
110,4010001034736,8016,E02521,オンワードホールディングス,"ONWARD HOLDINGS CO., LTD."
111,2010001008816,7719,E01587,東京衡機,TOKYO KOKI CO. LTD.
112,8060001001208,9903,E03179,カンセキ,"KANSEKI CO., LTD."
113,5180301019188,6142,E01503,富士精工,FUJI SEIKO LIMITED
114,1080101006499,8198,E03087,マックスバリュ東海,"Maxvalu Tokai Co.,Ltd."
115,1010001034945,8237,E03017,松屋,"Matsuya Co., LTD."
116,7300001006281,4530,E00944,久光製薬,"Hisamitsu Pharmaceutical Co.,Inc."
117,3290001004134,8203,E03103,ミスターマックスホールディングス（商号ＭｒＭａｘＨＤ）,Mr Max Holdings Ltd.
118,7010001105955,3479,E20616,ティーケーピー,TKP Corporation
119,6120001056412,5900,E01325,ダイケン,"DAIKEN CO.,LTD."
120,9012701001077,2918,E00496,わらべや日洋ホールディングス,"WARABEYA NICHIYO HOLDINGS CO.,LTD."
121,1250001002242,8167,E03094,リテールパートナーズ,"RETAIL PARTNERS CO., LTD."
122,4430001015181,2747,E03397,北雄ラッキー,"Hokuyu Lucky Co.,Ltd."
123,7030001003876,3826,E05643,システムインテグレータ,System Integrator Corp.
124,1010001095203,3382,E03462,セブン＆アイホールディングス,"Seven & i Holdings Co., Ltd."
125,6010401054605,2798,E03428,ワイズテーブルコーポレーション,Y's table corporation
126,8010001071429,6543,E32951,日宣,NISSEN INC.
127,8030001085963,9974,E03216,ベルク,"Belc CO., LTD."
128,1030001006892,7611,E03318,ハイデイ日高,HIDAY HIDAKA Corp.
129,3011801014408,3093,E03520,トレジャーファクトリー,"Treasure Factory Co.,LTD."
130,6010001072528,3083,E03498,シーズメン,"C'sMEN Co.,Ltd."
131,7290801000329,8260,E03032,井筒屋,"IZUTSUYA CO., LTD."
132,3110001002790,2872,E00447,セイヒョー,"SEIHYO Co.,Ltd."
133,1050001002254,2685,E03368,アダストリア,"Adastria Co., Ltd."
134,1010001034763,9661,E04606,歌舞伎座,"KABUKI-ZA CO., LTD."
135,3011101058626,3929,E31955,ソーシャルワイヤー,"SOCIALWIRE CO.,LTD."
136,4010001161381,6183,E31896,ベルシステム２４ホールディングス,"BELLSYSTEM24 HOLDINGS, INC."
137,4010401099544,3967,E32750,エルテス,"Eltes Co., Ltd"
138,2011001053983,3087,E03518,ドトール日レスホールディングス,"DOUTOR NICHIRES Holdings Co., Ltd."
139,3010001140386,3608,E25234,ＴＳＩホールディングス,"TSI HOLDINGS CO.,LTD."
140,3120101003135,7516,E03273,コーナン商事,"KOHNAN SHOJI CO., LTD."
141,9400001003829,3385,E03461,薬王堂,"YAKUODO.Co.,Ltd."
142,5360001008803,2659,E03352,サンエー,"SAN-A CO.,LTD."
143,9390001002171,9993,E03228,ヤマザワ,"YAMAZAWA CO.,LTD."
144,2011101046458,2338,E05315,ビットワングループ,"Bit One Group Co.,Ltd."
145,3010401015634,,E03889,世界貿易センタービルディング,"WORLD TRADE CENTER BUILDING, INC."
146,9011101011216,9740,E04799,セントラル警備保障,"CENTRAL SECURITY PATROLS CO.,LTD."
147,3010701013924,6086,E30120,シンメンテホールディングス,"Shin Maint Holdings Co.,Ltd."
148,1030001090714,7847,E02464,グラファイトデザイン,GRAPHITE DESIGN INC.
149,6120001185772,3194,E30640,キリン堂ホールディングス,"KIRINDO HOLDINGS CO.,LTD."
150,9080101005279,,E04614,芦の湖カントリークラブ,----
151,7021001002448,2683,E03365,魚喜,"UOKI CO.,LTD."
152,5280001005032,9835,E03141,ジュンテンドー,"JUNTENDO CO.,LTD."
153,3010501014528,5982,E02438,マルゼン,"MARUZEN CO.,LTD."
154,7040001067160,3080,E03509,ジェーソン,"JASON CO.,LTD."
155,6010401046222,,E04963,ポケットカード,"POCKET CARD CO., LTD."
156,5260001004556,9846,E03146,天満屋ストア,"TENMAYA STORE CO.,LTD."
157,6180001078368,5993,E01419,知多鋼業,"CHITA KOGYO CO.,LTD."
158,4180001082132,7630,E03329,壱番屋,"ICHIBANYA CO.,LTD."
159,4250001005176,3280,E26966,エストラスト,"STrust Co.,Ltd."
160,5010401097274,3558,E32966,ロコンド,"LOCONDO, Inc."
161,1010401022715,4920,E01040,日本色材工業研究所,"Nippon Shikizai,Inc."
162,6021001020459,6469,E01454,放電精密加工研究所,"HODEN SEIMITSU KAKO KENKYUSHO CO.,LTD."
163,5290001050416,7894,E00863,丸東産業,"Maruto Sangyo Co., Ltd."
164,9240001010841,7601,E03312,ポプラ,"POPLAR Co.,Ltd."
165,6013301010215,8251,E03026,パルコ,"PARCO CO.,LTD."
166,6040001029566,2687,E03372,シーヴイエスベイエリア,CVS Bay Area Inc.
167,3020001074170,8254,E03044,さいか屋,"Saikaya Department Store Co.,Ltd."
168,3120001071942,8143,E00605,ラピーヌ,"LAPINE CO.,LTD."
169,1010001068118,2337,E05314,いちご,Ichigo Inc.
170,6010401050785,2379,E05368,ディップ,DIP Corporation
171,5020001027135,7544,E03286,スリーエフ,"Three F Co.,Ltd."
172,7430001015237,3977,E32956,フュージョン,"Fusion Co.,Ltd."
173,3380001027299,3546,E32382,アレンザホールディングス,"Alleanza Holdings Co., Ltd."
174,9140001017079,8931,E04029,和田興産,WADAKOHSAN CORPORATION
175,5010001111996,3086,E03516,Ｊ．フロントリテイリング,"J.FRONT RETAILING Co.,Ltd."
176,7110001015665,6897,E02017,ツインバード工業,TWINBIRD CORPORATION
177,7260001004488,7610,E03319,テイツー,"TAY TWO CO.,LTD."
178,7010401060899,2178,E21322,トライステージ,Tri-Stage Inc.
179,2013301009186,4714,E05024,リソー教育,"RISO KYOIKU CO.,LTD."
180,5010001125410,3915,E31453,テラスカイ,"TerraSky Co,Ltd."
181,4011101018760,6312,E01706,フロイント産業,Freund Corporation
182,1010001088074,6182,E31901,ロゼッタ,ROZETTA CORPORATION
183,8250001006187,8894,E03993,ＲＥＶＯＬＵＴＩＯＮ,"REVOLUTION CO.,LTD."
184,2013301010706,,E03125,ファミリーマート,"FamilyMart Co., Ltd."
185,8010401065757,3073,E05673,ＤＤホールディングス,"DD Holdings Co.,Ltd."
186,1120001087503,2726,E03387,パルグループホールディングス,"PAL GROUP Holdings CO.,LTD."
187,1180001038005,,E03882,中央地所,"Chuo Estate Co., Ltd."
188,3110001022475,,E04580,コープビル,"COOP BUILDING CO., LTD."
189,3120001077411,,E02556,小泉,"KOIZUMI CO.,LTD"
190,9011001058992,3415,E31742,ＴＯＫＹＯＢＡＳＥ,"TOKYO BASE Co.,Ltd."
191,8140001028011,3550,E32736,スタジオアタオ,"STUDIO ATAO Co., Ltd."
192,6220001003957,8247,E03025,大和,"Daiwa Co.,Ltd."
193,2040001025619,4645,E04958,市進ホールディングス,"ICHISHIN HOLDINGS CO.,LTD."
194,2012801000308,8289,E03132,Ｏｌｙｍｐｉｃグループ,Olympic Group Corporation
195,2011101023151,6070,E26839,キャリアリンク,"CAREERLINK CO., LTD."
196,9080401005367,8005,E03054,スクロール,Scroll Corporation
197,2030001024893,2925,E00512,ピックルスコーポレーション,PICKLES CORPORATION
198,7290001012793,2300,E05278,きょくとう,"Kyokuto Co., Ltd."
199,7140001021198,5018,E01083,ＭＯＲＥＳＣＯ,MORESCO Corporation
200,4140001022298,3396,E03467,フェリシモ,FELISSIMO CORPORATION
201,8180001071932,3181,E27202,買取王国,"KAITORI OKOKU CO., LTD."
202,2011001033515,2670,E02925,エービーシーマート,"ABC-MART,INC."
203,9240001029584,6323,E02328,ローツェ,RORZE CORPORATION
204,2500001012603,3177,E26821,ありがとうサービス,"ARIGATOU SERVICES COMPANY,LIMITED"
205,2180001055214,3260,E04086,エスポア,"ESPOIR Co.,Ltd."
206,1010001065395,3366,E03455,一六堂,"ICHIROKUDO CO.,LTD."
207,1010001069520,7599,E02892,ＩＤＯＭ,IDOM Inc.
208,8120001024730,7811,E31924,中本パックス,"NAKAMOTO PACKS CO.,LTD."
209,3180001040644,,E03022,丸栄,"MARUEI DEPARTMENT STORE COMPANY, LIMITED"
210,2010701019195,2651,E03345,ローソン,"Lawson, Inc."
211,8122001015783,5817,E01348,ＪＭＡＣＳ,"JMACS Japan Co., Ltd."
212,3240001014666,6173,E31694,アクアライン,Aqualine Ltd.
213,6010401031785,4317,E05230,レイ,Ray Corporation
214,2180001116676,3543,E32427,コメダホールディングス,"KOMEDA Holdings Co., Ltd."
215,9010701025939,3387,E05517,クリエイトレストランツホールディングス,create restaurants holdings inc.
216,2180001047905,3678,E30002,メディアドゥ,"MEDIA DO Co., Ltd."
217,7010401111553,6532,E32549,ベイカレントコンサルティング,"BayCurrent Consulting, Inc."
218,8430001028254,2930,E26549,北の達人コーポレーション,Kitanotatsujin Corporation
219,6010701015232,3606,E00616,レナウン,RENOWN INCORPORATED
220,8180001050135,3063,E03495,ジェイグループホールディングス,j-Group Holdings Corp.
221,9010401120239,3919,E31585,パイプドＨＤ,"PiPEDO HD, Inc."
222,9500001002341,7857,E00730,セキ,"SEKI.co.,LTD."
223,7011101019599,7741,E01124,ＨＯＹＡ,HOYA CORPORATION
224,9120001098575,8697,E03814,日本取引所グループ,"Japan Exchange Group, Inc."
225,1120101003608,5990,E01435,スーパーツール,"SUPER TOOL CO., LTD."
226,6160001000993,8366,E03575,滋賀銀行,"THE SHIGA BANK,LTD."
227,3120001077023,9697,E02417,カプコン,"CAPCOM CO., LTD."
228,6010001141902,4310,E05221,ドリームインキュベータ,Dream Incubator Inc.
229,4120001051530,6861,E01967,キーエンス,KEYENCE CORPORATION
230,9180001044268,,E04708,京ヶ野ゴルフ倶楽部,"KYOGANO GOLF CLUB CO.,LTD."
231,8140001015612,9046,E04109,神戸電鉄,"Kobe Electric Railway Co.,Ltd."
232,1180001092357,7283,E02162,愛三工業,"AISAN INDUSTRY CO., LTD."
233,7180301018584,6470,E02199,大豊工業,"TAIHO KOGYO CO., LTD."
234,2180001037542,9040,E04217,大宝運輸,"Taiho Transportation Co., Ltd."
235,7290801010765,2354,E05328,ＹＥＤＩＧＩＴＡＬ,YE DIGITAL Corporation
236,3180001094608,4732,E05045,ユーエスエス,"USS Co., Ltd."
237,2120901019851,9042,E04103,阪急阪神ホールディングス,"Hankyu Hanshin Holdings, Inc."
238,3060001014164,2664,E03356,カワチ薬品,CAWACHI LIMITED
239,8080101005494,,E04177,近物レックス,"KINBUTSUREX CO.,LTD."
240,2100001006100,5906,E02409,エムケー精工,"MK SEIKO CO., LTD."
241,8011101003057,4951,E01019,エステー,S.T.CORPORATION
242,2030001041872,3564,E33073,ＬＩＸＩＬビバ,LIXIL VIVA CORPORATION
243,2180301013193,6271,E01641,ニッセイ,NISSEI CORPORATION
244,2180301014324,3116,E00540,トヨタ紡織,TOYOTA BOSHOKU CORPORATION
245,1013301004808,6516,E01806,山洋電気,"SANYO DENKI CO., LTD."
246,7010001085545,3841,E05669,ジーダット,Jedat Inc.
247,5120001089000,8256,E02695,プロルート丸光,"MARUMITSU CO., LTD."
248,6180001048602,6676,E02086,メルコホールディングス,MELCO HOLDINGS INC.
249,3010701008189,6324,E01712,ハーモニックドライブシステムズ,Harmonic Drive Systems Inc.
250,7011201010490,5852,E01303,アーレスティ,AHRESTY CORPORATION
251,1080401004368,9037,E04220,ハマキョウレックス,"HAMAKYOREX CO., LTD."
252,4220001005352,9950,E03202,ハチバン,"HACHI-BAN CO.,LTD."
253,5010401067252,6758,E01777,ソニーグループ,SONY GROUP CORPORATION
254,3120001079845,3778,E05518,さくらインターネット,SAKURA Internet Inc.
255,5360001000413,9436,E04460,沖縄セルラー電話,OKINAWA CELLULAR TELEPHONE COMPANY
256,3180001058182,7412,E03231,アトム,ATOM CORPORATION
257,3120001077485,8014,E02509,蝶理,"CHORI CO.,LTD."
258,3130001009314,4471,E00884,三洋化成工業,"SANYO CHEMICAL INDUSTRIES, LTD."
259,7010701007922,7518,E04966,ネットワンシステムズ,"Net One Systems Co.,Ltd."
260,7040001071336,,E04633,千葉カントリー倶楽部,"CHIBA COUNTRY CLUB CO.,LTD."
261,9180001028444,5992,E01405,中央発條,"CHUO SPRING CO.,LTD."
262,9120001053828,9619,E04904,イチネンホールディングス,"ICHINEN HOLDINGS CO.,LTD."
263,4120001039195,8249,E02696,テクノアソシエ,"TECHNO ASSOCIE Co.,Ltd."
264,9021001032237,9909,E02750,愛光電気,AIKO CORPORATION
265,3011001057199,4348,E05272,インフォコム,INFOCOM CORPORATION
266,7010601037788,8566,E04946,リコーリース,"RICOH LEASING COMPANY,LTD."
267,7010001062783,7595,E05018,アルゴグラフィックス,ARGO GRAPHICS Inc.
268,6240001034471,4957,E01033,ヤスハラケミカル,"YASUHARA CHEMICAL CO.,LTD."
269,9130001023441,7915,E00703,ＮＩＳＳＨＡ,"Nissha Co., Ltd."
270,5070001001977,1967,E00138,ヤマト,YAMATO CORPORATION
271,2010401034593,3800,E05561,ユニリタ,UNIRITA Inc.
272,5040001004289,,E03926,鷹之台ゴルフ,"Takanodai Golf Co., Ltd."
273,3010001045552,4752,E05075,昭和システムエンジニアリング,SHOWA SYSTEM ENGINEERING CORPORATION
274,5010001001710,4556,E00977,カイノス,"KAINOS Laboratories,Inc."
275,4140001024328,3612,E02767,ワールド,"WORLD CO., LTD."
276,8020001074100,5609,E01236,日本鋳造,NIPPON CHUZO K. K.
277,8120001044472,4109,E00805,ステラケミファ,STELLA CHEMIFA CORPORATION
278,2040001059014,2599,E00421,ジャパンフーズ,"JAPAN FOODS CO.,LTD."
279,7180001045235,7282,E01108,豊田合成,"TOYODA GOSEI CO., LTD."
280,6011001039962,3316,E02966,東京日産コンピュータシステム,"TOKYO NISSAN COMPUTER SYSTEM CO.,LTD."
281,9120001044397,9932,E02760,杉本商事,"SUGIMOTO & CO., LTD."
282,6010401082746,4185,E01003,ＪＳＲ,JSR Corporation
283,5180001081083,6995,E01898,東海理化電機製作所,"TOKAI RIKA CO.,LTD."
284,4180001088187,5204,E01123,石塚硝子,"ISHIZUKA GLASS CO.,LTD."
285,9140001069797,9728,E04828,日本管財,"NIPPON KANZAI Co., Ltd."
286,6011101056882,9878,E03160,セキド,"SEKIDO CO.,LTD."
287,5220001006845,8285,E02692,三谷産業,"MITANI SANGYO CO.,LTD."
288,2011601007777,4973,E01060,日本高純度化学,"JAPAN PURE CHEMICAL CO., LTD."
289,8013201007128,7837,E02980,アールシーコア,"R.C.CORE CO.,LTD."
290,6180001029354,9428,E05504,クロップス,CROPS CORPORATION
291,5120101037593,7897,E00632,ホクシン,"HOKUSHIN CO., LTD."
292,7010401040174,3850,E05694,エヌティティデータイントラマート,NTT DATA INTRAMART CORPORATION
293,9080101005353,,E04095,伊豆箱根鉄道,"IZUHAKONE RAILWAY CO.,LTD."
294,2140001015675,4929,E27016,アジュバンコスメジャパン,"ADJUVANT COSME JAPAN CO.,LTD."
295,8010401005011,,E05355,ＮＴＴファイナンス,NTT FINANCE CORPORATION
296,2200001003384,2139,E05668,中広,"CHUCO CO.,LTD."
297,6010401073811,9899,E03095,ジョリーパスタ,"Jolly-Pasta CO.,LTD."
298,3120001155365,6161,E01730,エスティック,ESTIC CORPORATION
299,5290801010767,6506,E01741,安川電機,YASKAWA Electric Corporation
300,1230001002236,4541,E00963,日医工,"Nichi-Iko Pharmaceutical Co., Ltd."
301,2120901001628,6988,E01888,日東電工,NITTO DENKO CORPORATION
302,6200001013231,4062,E00775,イビデン,"IBIDEN CO.,LTD."
303,6180301013611,7259,E01593,アイシン,AISIN CORPORATION
304,6040001035845,6834,E01717,精工技研,"SEIKOH GIKEN Co., Ltd."
305,8180001018537,8190,E03072,ヤマナカ,"YAMANAKA CO.,LTD."
306,8210001002891,9790,E04933,福井コンピュータホールディングス,"Fukui Computer Holdings,Inc."
307,5080001002669,8355,E03570,静岡銀行,"THE SHIZUOKA BANK, LTD."
308,5010001066200,4925,E01063,ハーバー研究所,"HABA LABORATORIES,INC."
309,3120901010347,5933,E01430,アルインコ,ALINCO INCORPORATED
310,6020001028371,4299,E05215,ハイマックス,"HIMACS,Ltd."
311,4021001013588,7419,E03235,ノジマ,Nojima Corporation
312,9010001072343,6730,E02077,アクセル,AXELL CORPORATION
313,2010401027614,,E04547,ホテルオークラ,"HOTEL OKURA Co., Ltd."
314,6010701007411,2729,E04761,ＪＡＬＵＸ,JALUX Inc.
315,4010401039979,4689,E05000,Ｚホールディングス,Z Holdings Corporation
316,2011101005216,,E05681,データリンクス,DATALINKS CORPORATION
317,1010401010455,6301,E01532,小松製作所,KOMATSU LTD.
318,1180001013107,1738,E05065,ニットー,NITTOH CORPORATION
319,3020001000366,4921,E01046,ファンケル,FANCL CORPORATION
320,4020001067149,6659,E01875,メディアリンクス,"MEDIA LINKS CO.,LTD."
321,5140001059091,6518,E02012,三相電機,"SANSO ELECTRIC CO.,LTD."
322,3010701015193,3844,E05678,コムチュア,COMTURE CORPORATION
323,1011001069980,4337,E03379,ぴあ,PIA CORPORATION
324,9360001009277,,E01191,琉球セメント,"RYUKYU CEMENT CO.,LTD."
325,3200001014926,7931,E02002,未来工業,"MIRAI INDUSTRY CO.,LTD."
326,9180001038906,3347,E02977,トラスト,"TRUST CO., LTD."
327,1010001092299,2148,E05686,アイティメディア,ITmedia Inc.
328,7200001013874,7250,E02178,太平洋工業,"PACIFIC INDUSTRIAL CO., LTD."
329,1370001002651,9914,E02753,植松商会,"Uematsu Shokai Co.,Ltd."
330,8010001136859,4792,E05135,山田コンサルティンググループ,"YAMADA Consulting Group Co.,Ltd."
331,9120001077414,4956,E02686,コニシ,"KONISHI CO., LTD."
332,5290801002046,9474,E00717,ゼンリン,"ZENRIN CO., LTD."
333,6021001011037,6118,E01545,アイダエンジニアリング,"AIDA ENGINEERING, LTD."
334,6120101002720,9039,E04218,サカイ引越センター,"Sakai Moving Service Co.,Ltd."
335,7011101033773,4726,E05037,ＳＢテクノロジー,SB Technology Corp.
336,5010701022329,7832,E02481,バンダイナムコホールディングス,BANDAI NAMCO Holdings Inc.
337,7020001030517,7294,E02219,ヨロズ,YOROZU CORPORATION
338,7010401008700,4674,E04988,クレスコ,CRESCO LTD.
339,2010001057425,8628,E03807,松井証券,"MATSUI SECURITIES CO., LTD."
340,4210001003266,7871,E00829,フクビ化学工業,"FUKUVI CHEMICAL INDUSTRY CO.,LTD."
341,5011001014966,4819,E05156,デジタルガレージ,"Digital Garage, Inc."
342,2010401057917,8732,E03747,マネーパートナーズグループ,"MONEY PARTNERS GROUP CO.,LTD."
343,8010001034724,7238,E02161,曙ブレーキ工業,"AKEBONO BRAKE INDUSTRY CO., LTD."
344,3180301001916,7241,E02195,フタバ産業,"FUTABA INDUSTRIAL CO., LTD."
345,4110001006378,2220,E00385,亀田製菓,"KAMEDA SEIKA CO.,LTD."
346,3010701006176,6481,E01678,ＴＨＫ,"THK CO., LTD."
347,7010001134137,3857,E05720,ラック,"LAC Co.,Ltd."
348,9130001002387,6594,E01975,日本電産,NIDEC CORPORATION
349,5010001034966,4503,E00920,アステラス製薬,Astellas Pharma Inc.
350,1010001095640,4568,E00984,第一三共,"DAIICHI SANKYO COMPANY, LIMITED"
